match_id,innings,over,ball,striker,non_striker,bowler,runs,extras,wicket,wicket_type,fielder,runout_by,batting_team,timestamp,runs_bat,extra_runs,is_wide,is_no_ball,counts_as_ball
1,1,4,6,roopesh,vinay,sam,4.0,2.0,0,none,,vinay,roope,,,,,,
2,2,4,3,roope,roope,vinay,6.0,0.0,0,none,roope,roopesh,kosmo,,,,,,
2,1,4,3,aman,ashok,w,1.0,1.0,0,none,,vinay,kosmo,,,,,,
1,1,0,6,aman,vinay,sam,5.0,1.0,0,none,ashok,,kosmo,,,,,,
1,1,0,2,ashok,roopesh,w,2.0,0.0,0,none,roope,roopesh,kosmo,,,,,,
2,1,2,1,vinay,roopesh,vinay,6.0,2.0,1,run out,ashok,vinay,kosmo,,,,,,
1,1,1,6,aman,roopesh,vinay,5.0,2.0,1,caught,roope,roopesh,kosmo,,,,,,
1,2,1,2,roopesh,roope,vinay,0.0,2.0,0,none,,vinay,roope,,,,,,
1,2,0,1,vinay,vinay,sam,4.0,0.0,0,none,ashok,vinay,kosmo,,,,,,
1,2,3,5,ashok,roope,w,2.0,2.0,0,none,roope,,roope,,,,,,
1,1,2,5,sam,ashok,vinay,5.0,0.0,0,none,ashok,roopesh,kosmo,,,,,,
1,2,0,4,vinay,vinay,w,5.0,1.0,1,caught,roopesh,,kosmo,,,,,,
1,1,1,4,vinay,vinay,sam,3.0,2.0,0,none,roopesh,,kosmo,,,,,,
2,1,0,3,vinay,sam,sam,4.0,2.0,0,none,roopesh,vinay,kosmo,,,,,,
1,1,0,4,sam,roope,vinay,4.0,2.0,0,none,,,kosmo,,,,,,
1,2,3,4,aman,ashok,sam,2.0,1.0,0,none,ashok,vinay,roope,,,,,,
1,1,2,1,ashok,roope,sam,0.0,0.0,0,none,roopesh,vinay,kosmo,,,,,,
1,2,2,2,ashok,sam,w,4.0,2.0,0,none,roopesh,vinay,roope,,,,,,
1,1,1,5,sam,sam,vinay,2.0,0.0,0,none,roopesh,roopesh,roope,,,,,,
1,2,2,4,aman,roope,vinay,5.0,0.0,0,none,ashok,vinay,roope,,,,,,
2,2,2,4,roope,aman,w,0.0,0.0,0,none,roope,roopesh,kosmo,,,,,,
2,1,3,3,sam,sam,w,3.0,0.0,0,none,roopesh,vinay,roope,,,,,,
2,1,2,5,vinay,vinay,vinay,2.0,2.0,0,none,roope,roopesh,kosmo,,,,,,
1,2,3,4,ashok,roope,vinay,4.0,2.0,0,none,,,roope,,,,,,
1,1,0,2,roopesh,aman,w,0.0,2.0,0,none,ashok,,kosmo,,,,,,
1,1,4,1,vinay,ashok,sam,2.0,2.0,0,none,roope,,roope,,,,,,
1,1,4,4,ashok,vinay,vinay,0.0,0.0,0,none,roope,roopesh,roope,,,,,,
1,1,0,6,ashok,sam,w,2.0,0.0,0,none,roope,vinay,roope,,,,,,
1,1,3,5,roope,aman,w,0.0,1.0,0,none,ashok,,kosmo,,,,,,
2,1,2,2,aman,vinay,vinay,3.0,1.0,0,none,roopesh,,roope,,,,,,
1,1,1,2,roope,roopesh,ww,0.0,,Yes,Bowled,,,roope,,,,,,
1,1,1,3,roopeshe,roope,ww,0.0,,Yes,Bowled,,,roope,,,,,,
1,1,1,4,roopesh,roope,ww,0.0,,Yes,Bowled,,,roope,,,,,,
1,1,1,5,roopeshe,roope,ww,0.0,,Yes,Bowled,,,roope,,,,,,
1,1,1,6,roope,roopesh,wwe,0.0,,Yes,Bowled,,,roope,,,,,,
1,1,2,1,roopeshe,roope,wwe,0.0,,Yes,Bowled,,,roope,,,,,,
1,1,2,2,roopesh,roope,wwe,0.0,,Yes,Bowled,,,roope,,,,,,
1,1,2,3,roopeshe,roope,wwe,0.0,,Yes,Bowled,,,roope,,,,,,
1,1,2,4,roopesh,roope,wwe,0.0,,Yes,Bowled,,,roope,,,,,,
1,1,2,5,roopeshe,roope,wwe,0.0,,Yes,Bowled,,,roope,,,,,,
1,2,0,1,ww,wwe,roope,0.0,,No,,,,roopendra,,,,,,
1,2,0,2,ww,wwe,roope,0.0,,No,,,,roopendra,,,,,,
1,2,0,3,ww,wwe,roope,1.0,,No,,,,roopendra,,,,,,
1,2,0,4,wwe,ww,roope,1.0,,No,,,,roopendra,,,,,,
1,2,0,5,wwe,ww,roopesh,1.0,,No,,,,roopendra,,,,,,
1,2,0,6,ww,wwe,roopesh,1.0,,No,,,,roopendra,,,,,,
1,2,1,1,wwe,ww,roopesh,1.0,,No,,,,roopendra,,,,,,
1,2,1,2,ww,wwe,roopesh,1.0,,No,,,,roopendra,,,,,,
1,2,1,3,wwe,ww,roopesh,1.0,,No,,,,roopendra,,,,,,
1,2,1,4,ww,wwe,roopesh,0.0,,No,,,,roopendra,,,,,,
1,2,1,5,wwe,ww,roope,0.0,,No,,,,roopendra,,,,,,
1,2,1,6,wwe,ww,roope,0.0,,No,,,,roopendra,,,,,,
1,2,2,1,wwe,ww,roope,0.0,,No,,,,roopendra,,,,,,
1,2,2,2,wwe,ww,roope,0.0,,No,,,,roopendra,,,,,,
1,2,2,3,wwe,ww,roope,0.0,,No,,,,roopendra,,,,,,
1,2,2,4,wwe,ww,roope,0.0,,No,,,,roopendra,,,,,,
1,2,2,5,ww,wwe,roopesh,0.0,,No,,,,roopendra,,,,,,
1,2,2,6,ww,wwe,roopesh,6.0,,No,,,,roopendra,,,,,,
1,2,3,1,ww,wwe,roopesh,6.0,,No,,,,roopendra,,,,,,
4,1,0,1,1111,11111,1,0.0,,No,,,,ggd,,,,,,
4,1,0,2,1111,11111,1,2.0,,No,,,,ggd,,,,,,
4,1,0,3,1111,11111,1,2.0,,No,,,,ggd,,,,,,
4,1,0,4,1111,11111,1,2.0,,No,,,,ggd,,,,,,
4,1,0,5,1111,11111,1,2.0,,No,,,,ggd,,,,,,
4,1,0,6,1111,11111,1,2.0,,No,,,,ggd,,,,,,
4,1,1,1,11111,1111,11,2.0,,No,,,,ggd,,,,,,
4,1,1,2,11111,1111,11,2.0,,No,,,,ggd,,,,,,
4,1,1,3,11111,1111,11,2.0,,No,,,,ggd,,,,,,
4,1,1,4,11111,1111,11,2.0,,No,,,,ggd,,,,,,
4,1,1,5,11111,1111,11,2.0,,No,,,,ggd,,,,,,
4,1,1,6,11111,1111,11,0.0,,Yes,Bowled,,,ggd,,,,,,
4,1,2,1,1111,11111,1,0.0,,Yes,Bowled,,,ggd,,,,,,
4,1,2,2,111111,1111,1,0.0,,Yes,Bowled,,,ggd,,,,,,
4,1,2,3,11111,1111,1,0.0,,Yes,Bowled,,,ggd,,,,,,
4,1,2,4,111111,1111,1,0.0,,Yes,Bowled,,,ggd,,,,,,
4,1,2,5,11111,1111,1,0.0,,Yes,Bowled,,,ggd,,,,,,
4,1,2,6,111111,1111,1,0.0,,Yes,Bowled,,,ggd,,,,,,
4,1,3,1,1111,11111,11,0.0,,Yes,Bowled,,,ggd,,,,,,
4,1,3,2,111111,1111,11,0.0,,Yes,Bowled,,,ggd,,,,,,
4,1,3,3,11111,1111,11,0.0,,Yes,Bowled,,,ggd,,,,,,
4,2,0,1,1,11,1111,0.0,,No,,,,gg,,,,,,
